model,task,language,token_ratio,char_ratio,word_ratio,tokens_per_char,tokens_per_word,chars_per_word
gpt-oss-120b,code,ar,1.5523636662409155,1.6718835569101778,1.7609574985469083,0.43499973837057193,2.7999515001279853,6.436673986554757
gpt-oss-120b,code,de,1.3763005953047855,1.8308887726339842,1.7026796199423508,0.3521704312193481,2.5673570617454247,7.2900982994405785
gpt-oss-120b,code,es,1.403447838005393,1.8576007670490828,1.894191191298056,0.35395287723875507,2.353305862755658,6.6486417093546075
gpt-oss-120b,code,fi,1.518568728945855,1.6628343373441274,1.4062251639917915,0.4278455519803699,3.429931926882555,8.016752566449316
gpt-oss-120b,code,fr,1.363303978906641,1.7672712893738156,1.7924035918057482,0.3614024006304526,2.4158101982065454,6.684543860229642
gpt-oss-120b,code,hi,1.5973102979511655,1.6910160425936196,1.9656477230940774,0.44253040657640835,2.581008991611852,5.832387906583791
gpt-oss-120b,code,ko,1.4375303441115617,1.115732729585454,1.4042323523480778,0.6036127441832748,3.2515015078433196,5.38673435770943
gpt-oss-120b,code,sw,1.594770729229689,1.7561417291147965,1.734078265304912,0.42544188692516843,2.921026349631981,6.865864503242401
gpt-oss-120b,code,tr,1.4906969622276498,1.6913414785640923,1.546576041184774,0.4129140110751227,3.061427662005967,7.414201455733581
gpt-oss-120b,code,zh,1.2542444409587619,0.8502294673522983,0.6706404279800244,0.6911106492351953,5.940163079045581,8.59509701611334
gpt-oss-120b,commonsense,ar,1.8871114185654374,1.5976160406168558,1.6622578741213716,0.5769840892146132,3.522248583740861,6.104585290272599
gpt-oss-120b,commonsense,de,2.119832245233257,2.8335156642689094,2.433787626763964,0.3654387387602261,2.70233804027911,7.394777164147844
gpt-oss-120b,commonsense,es,2.296545462406503,2.8863310932675534,2.8733701776036917,0.3886579954809932,2.479729603555489,6.380235663199566
gpt-oss-120b,commonsense,fi,2.301854814302391,2.110454532014919,1.6303857917046736,0.532771070833867,4.380345888664,8.221816326866433
gpt-oss-120b,commonsense,fr,1.9401703489126207,2.5246864823082675,2.4745130654075225,0.37537998751917717,2.4326015070201117,6.480370791998699
gpt-oss-120b,commonsense,hi,2.0013748973150594,2.0078733173107386,2.3594194344583355,0.4868899912067014,2.6317471146739444,5.40521917107283
gpt-oss-120b,commonsense,ko,2.1268450862553507,1.167945799137483,1.6142351236787036,0.8895121333767314,4.08780268909239,4.595555851019628
gpt-oss-120b,commonsense,sw,1.9167106230273683,2.2163261513248207,2.1621773890647638,0.4224366463190354,2.7503381186951716,6.510652289901107
gpt-oss-120b,commonsense,tr,1.9557525184832896,2.0239156237196356,1.65318989107689,0.4720197846230904,3.6703883416367797,7.775920546566917
gpt-oss-120b,commonsense,zh,2.1886203467508323,0.7171772636843239,0.21041476632505232,1.490673828412578,32.271197245951804,21.648731352798674
gpt-oss-120b,math,ar,1.2720395771828705,1.441304902387419,1.4352495434350043,0.659434322401527,3.608698129332447,5.4724147754249355
gpt-oss-120b,math,de,1.268913301066415,1.6424373383752744,1.4085643415923899,0.5772579569437296,3.668027711123152,6.3542263333075315
gpt-oss-120b,math,es,1.3093473647567597,1.7692861751774434,1.6317496660942568,0.5529470967231236,3.2672223707069357,5.90874315114259
gpt-oss-120b,math,fi,1.2310632685986653,1.3125603357292557,1.0823179872979531,0.7007899821272736,4.63129926713174,6.608683607424384
gpt-oss-120b,math,fr,1.2355217266148524,1.5359413374149047,1.4727287595060923,0.6010388510763018,3.4158985748658153,5.68332407921525
gpt-oss-120b,math,hi,1.2242483883276767,1.275991256633804,1.3972796903535314,0.7168835750686006,3.567496391088916,4.976395770746362
gpt-oss-120b,math,ko,1.317728730276679,0.9947979972289331,1.1627551993894296,0.9897326568887235,4.61439823714192,4.662267335552534
gpt-oss-120b,math,sw,1.2512200510111864,1.4579913266607643,1.424482786818219,0.6412177600296413,3.57646383467279,5.577611940298508
gpt-oss-120b,math,tr,1.2450545257365495,1.3811167299410274,1.220214244827868,0.6735731592042504,4.154603940490551,6.168006969575124
gpt-oss-120b,math,zh,1.15330802857162,0.7354581513882845,0.6667484395017309,1.1716938143979325,7.04304811741139,6.0109970974203835
gpt-oss-20b,code,ar,1.1041959923822142,1.5099240483351282,1.5553349943870984,0.5829799558460295,3.756079957046413,6.442897254667241
gpt-oss-20b,code,de,1.105502711766167,1.6650453193394144,1.5416039208170194,0.5292931970901307,3.794019963057687,7.168087524865018
gpt-oss-20b,code,es,1.0238288689244017,1.809580388710802,1.830545135941735,0.4510368742391012,2.9590992715796403,6.560659317648114
gpt-oss-20b,code,fi,1.0342256976070217,1.3370030240396715,1.1056457574678968,0.6166595953128495,4.948937013236258,8.025395292398747
gpt-oss-20b,code,fr,0.9601127142502277,1.7002240182184984,1.692727870109246,0.45017215901232405,3.0008734542690076,6.666057405355569
gpt-oss-20b,code,hi,1.161965926968618,1.566407168582992,1.7696383101059603,0.591359107465965,3.4739333926430205,5.874490387962712
gpt-oss-20b,code,ko,1.1906438892108968,1.1868283063315057,1.4362593434274291,0.7997542378331217,4.3859292937958125,5.484096346496621
gpt-oss-20b,code,sw,1.2515810010764261,1.8060942856789237,1.7273909591216492,0.5524348932457096,3.833371638703746,6.939046909549132
gpt-oss-20b,code,tr,0.9648764179845988,1.317000218654983,1.1904963995290638,0.584047815204759,4.2880141672703855,7.341888892722024
gpt-oss-20b,code,zh,1.0809959012999917,0.9808099310617968,0.7805629329463626,0.8786213481562803,7.327042811792974,8.339249697458651
gpt-oss-20b,commonsense,ar,2.072921084626912,15.75074831628835,14.516961130742049,0.5805154031016039,3.5690188155684837,6.148017428133292
