model,task,language,chars,words,tokens,tokens_per_char,tokens_per_word
gpt-oss-20b,math,fr,574.76,91.318,396.576,0.7067229139924474,4.3559959225603935
gpt-oss-20b,math,hi,523.496,149.354,408.838,0.7729081525412124,2.702533097955003
gpt-oss-20b,math,ko,360.982,72.858,412.45,1.1390295667816124,5.590180073894953
gpt-oss-20b,math,sw,610.184,94.26,438.53,0.7704579781058971,4.894008427025073
gpt-oss-20b,math,tr,449.444,68.924,382.674,0.8900267876811474,5.66408815822882
gpt-oss-20b,math,zh,268.21,45.624,365.014,1.3462150235841146,7.935595812008208
llama3.1-8b,code,ar,2191.8,291.112,674.182,0.34640168565325563,2.313971231153101
llama3.1-8b,code,de,1678.968,240.66,478.908,0.2872640675708857,2.017884236838982
llama3.1-8b,code,en,1276.444,183.352,319.354,0.2501111677115793,1.7495678742634426
llama3.1-8b,code,es,1825.304,274.822,485.276,0.2660633523815154,1.7607201608782206
llama3.1-8b,code,fi,1725.598,213.378,641.966,0.36710573908496336,3.0209664831379963
llama3.1-8b,code,fr,1639.896,248.084,454.012,0.2777002701094067,1.8313726198295448
llama3.1-8b,code,hi,1533.742,401.534,684.554,0.43792299862157225,1.7155141893964982
llama3.1-8b,code,ko,1612.216,279.834,712.636,0.4385306474790205,2.657409028566513
llama3.1-8b,code,sw,2592.184,376.328,928.352,0.37293185922197336,2.571611078748918
llama3.1-8b,code,tr,2314.93,305.566,688.282,0.2933061986291316,2.373649144451674
llama3.1-8b,code,zh,958.264,110.574,411.082,0.43652509865455724,3.7732628115741664
llama3.1-8b,commonsense,ar,1542.652,265.648,571.956,0.3756120750713481,2.1743744319160303
llama3.1-8b,commonsense,de,1394.53,204.898,376.778,0.27223596161751584,1.8690746235769728
llama3.1-8b,commonsense,en,1284.614,213.04,256.95,0.20216847290405981,1.209943373245197
llama3.1-8b,commonsense,es,1342.972,225.116,344.698,0.259219480508163,1.5457046544102908
llama3.1-8b,commonsense,fi,3167.314,398.652,1240.75,0.3921856736940361,3.131441506103715
llama3.1-8b,commonsense,fr,1302.94,220.87,344.578,0.2636867733266686,1.5694643453384562
llama3.1-8b,commonsense,hi,1704.162,591.512,860.492,0.5033883727267122,1.4580073977087384
llama3.1-8b,commonsense,ko,1492.506,351.67,867.452,0.5730032309876936,2.4802216301982662
llama3.1-8b,commonsense,sw,2758.664,461.402,1056.07,0.3886943315515487,2.419793840639235
llama3.1-8b,commonsense,tr,2454.886,321.938,677.066,0.2784069461493077,2.124719941082854
llama3.1-8b,commonsense,zh,355.436,36.286,260.868,0.7299043998145683,7.331125520257809
llama3.1-8b,math,ar,1100.926,205.238,454.502,0.4253019838941897,2.259027969951067
llama3.1-8b,math,de,1040.446,172.072,327.606,0.319763272934944,1.9377834086360741
llama3.1-8b,math,en,1154.19,227.288,330.154,0.2776426263903483,1.4336049477680657
llama3.1-8b,math,es,1258.468,226.522,369.574,0.2968069796856602,1.6683285726715111
llama3.1-8b,math,fi,1985.622,296.898,827.478,0.41887484107396883,2.804508682590804
llama3.1-8b,math,fr,1731.692,318.316,515.688,0.3090151877187398,1.673735988445201
llama3.1-8b,math,hi,1839.976,616.124,961.334,0.5254512237199636,1.5752991363661262
llama3.1-8b,math,ko,795.644,185.752,466.112,0.6178899625232662,2.7049233404783415
llama3.1-8b,math,sw,1282.14,226.036,515.04,0.40976157235834093,2.3155189120883612
llama3.1-8b,math,tr,3004.448,458.524,912.624,0.32208336566224066,2.0470699455999393
llama3.1-8b,math,zh,564.452,77.954,368.062,0.6617761208888971,4.996254613697119
llama3.3-70b,code,ar,1139.822,178.45,399.974,0.3521982451160316,2.2516438420375877
llama3.3-70b,code,de,1810.048,260.316,496.2,0.2743356001249318,1.9122066098482897
llama3.3-70b,code,en,876.616,118.716,223.126,0.2572395571146475,1.9264709043514623
llama3.3-70b,code,es,1757.858,271.558,456.682,0.26002682657325005,1.6855477051028844
llama3.3-70b,code,fi,1220.236,155.964,474.638,0.3903689467694661,3.0682353082203613
llama3.3-70b,code,fr,1784.382,277.54,480.912,0.2700835915057787,1.7368776064085245
llama3.3-70b,code,hi,1296.904,370.77,591.4,0.4570983979067602,1.597238749529583
llama3.3-70b,code,ko,841.644,161.184,381.824,0.45643645733323474,2.38292993215512
llama3.3-70b,code,sw,1352.504,194.366,522.348,0.3873958774275704,2.71079141688264
llama3.3-70b,code,tr,1285.488,167.668,380.736,0.2973155412490271,2.2929746041542343
llama3.3-70b,code,zh,736.53,81.908,359.63,0.49515477901615884,4.537415804062976
llama3.3-70b,commonsense,ar,660.068,113.044,245.816,0.3737697549220778,2.189790327892484
llama3.3-70b,commonsense,de,1357.198,195.048,371.802,0.27437665838254555,1.9090604787531382
llama3.3-70b,commonsense,en,1471.482,240.664,287.894,0.19664042381572772,1.1990817854965141
llama3.3-70b,commonsense,es,1261.344,210.418,321.862,0.25612685331379687,1.53346669736099
llama3.3-70b,commonsense,fi,912.676,113.06,355.592,0.3898349457310705,3.147155299808948
llama3.3-70b,commonsense,fr,1225.944,204.466,321.504,0.26296034848711164,1.5757040641048123
llama3.3-70b,commonsense,hi,905.048,316.016,455.926,0.5045211843486772,1.4481418170807574
llama3.3-70b,commonsense,ko,394.616,92.614,226.918,0.5770317655807486,2.4690301779372414
llama3.3-70b,commonsense,sw,790.976,123.208,304.572,0.3860508546487522,2.4817446250300432
