timestamp,run_key,model,task,language,n,n_correct,accuracy,mean_completion_tokens,median_completion_tokens,std_completion_tokens,p10_completion_tokens,p90_completion_tokens,mean_total_tokens,mean_prompt_tokens,mean_latency_s,median_latency_s,p90_latency_s,mean_response_chars,mean_fertility,n_truncated,truncation_rate,avg_cost_per_attempt_usd,ceff_usd
2026-08-12T10:59:29.688295+00:00,qwen3.6-27b__commonsense__en_to_en,qwen3.6-27b,commonsense,en_to_en,500,494,0.988,1745.08,1720.0,442.98,1308.0,2201.1,1893.0,147.91,13.516,12.812,19.457,7806.0,1.4944,1,0.002,0.0,0.0
2026-08-14T08:15:54.897330+00:00,qwen3.6-27b__commonsense__en_to_fi,qwen3.6-27b,commonsense,en_to_fi,500,493,0.986,2258.03,2195.0,610.25,1670.6,2888.4,2433.94,175.91,17.606,16.73,29.512,7717.1,2.2403,8,0.016,0.0,0.0
2026-08-16T04:49:28.255051+00:00,qwen3.6-27b__commonsense__fi_to_en,qwen3.6-27b,commonsense,fi_to_en,500,490,0.98,1645.25,1620.5,427.13,1171.8,2092.9,1821.94,176.69,12.913,11.992,23.718,7121.2,1.5928,0,0.0,0.0,0.0
2026-08-18T04:14:33.131059+00:00,qwen3.6-27b__commonsense__fi_to_fi,qwen3.6-27b,commonsense,fi_to_fi,500,492,0.984,1925.35,1937.0,590.38,1185.3,2583.2,2130.04,204.69,15.574,14.678,25.864,6550.5,2.2784,1,0.002,0.0,0.0
