timestamp,run_key,model,task,language,n,n_correct,accuracy,mean_completion_tokens,median_completion_tokens,std_completion_tokens,p10_completion_tokens,p90_completion_tokens,mean_total_tokens,mean_prompt_tokens,mean_latency_s,median_latency_s,p90_latency_s,mean_response_chars,mean_fertility,n_truncated,truncation_rate,avg_cost_per_attempt_usd,ceff_usd
2026-08-09T09:14:44.297550+00:00,llama3.1-8b__commonsense_native__fi,llama3.1-8b,commonsense_native,fi,500,206,0.412,1176.83,328.0,1831.88,181.9,5000.0,1443.66,266.83,13.826,5.145,47.842,3024.1,3.2004,93,0.186,0.00010749,0.00026089
2026-08-10T06:35:46.543628+00:00,llama3.3-70b__commonsense_native__fi,llama3.3-70b,commonsense_native,fi,500,481,0.962,337.09,345.5,132.98,155.8,506.0,603.92,266.83,2.222,1.755,2.808,864.1,3.2213,0,0.0,0.00042373,0.00044047
2026-08-10T07:36:09.431021+00:00,llama3.1-8b__commonsense_native__sw,llama3.1-8b,commonsense_native,sw,500,76,0.152,451.9,282.5,836.23,175.0,498.2,728.87,276.97,5.918,2.795,13.805,1152.7,2.4375,16,0.032,5e-05,0.00032895
2026-08-11T16:01:57.502553+00:00,llama3.3-70b__commonsense_native__sw,llama3.3-70b,commonsense_native,sw,500,450,0.9,321.95,296.5,326.73,139.0,501.2,598.92,276.97,2.161,1.517,2.69,828.6,2.4681,2,0.004,0.00041775,0.00046417
